case,cores,status,seconds,single,makespan,speedup,added_copy_bytes,used_cores,official_evaluations,selected,plan,error
case_018,5,ok,2.417083501815796,1004367.0,202471,4.960547436422994,9359104,5,3,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_018_5core.json,
case_019,2,ok,0.17345738410949707,81144.0,41810,1.940779717770868,64564,2,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_019_2core.json,
case_019,3,ok,0.22835040092468262,81144.0,28312,2.8660638598474146,160896,3,2,v14_conservative,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_019_3core.json,
case_019,4,ok,0.3071427345275879,81144.0,22095,3.6725050916496946,262272,4,3,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_019_4core.json,
case_019,5,ok,0.3119242191314697,81144.0,19307,4.202827989848242,219264,5,3,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_019_5core.json,
case_020,2,ok,3.82018780708313,532746.0,266580,1.9984469952734638,0,2,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_020_2core.json,
case_020,3,ok,2.4408161640167236,532746.0,177950,2.993796010115201,0,3,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_020_3core.json,
case_020,4,ok,1.7104418277740479,532746.0,133704,3.984518039849219,0,4,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_020_4core.json,
case_020,5,ok,1.5832791328430176,532746.0,107650,4.948871342313051,0,5,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_020_5core.json,
case_021,2,ok,1.1723902225494385,6567937.0,3100548,2.118314891432095,9400320,2,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_021_2core.json,
case_021,3,ok,1.2263569831848145,6567937.0,2084168,3.151347204256087,22405120,3,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_021_3core.json,
case_021,4,ok,1.0437276363372803,6567937.0,1550324,4.236493145948847,4608000,4,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_021_4core.json,
case_021,5,ok,1.2574231624603271,6567937.0,1245210,5.274561720513006,17285120,5,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_021_5core.json,
case_022,2,ok,0.35151243209838867,56780.0,28333,2.004023576747962,6912,2,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_022_2core.json,
case_022,3,ok,0.3501424789428711,56780.0,19128,2.968423253868674,13824,3,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_022_3core.json,
case_022,4,ok,0.34351158142089844,56780.0,14654,3.874709976798144,13824,4,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_022_4core.json,
case_022,5,ok,0.36525726318359375,56780.0,11828,4.800473452823808,20736,5,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_022_5core.json,
case_023,2,ok,0.40633487701416016,122614.0,58568,2.0935323043300094,429024,2,3,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_023_2core.json,
case_023,3,ok,0.3464179039001465,122614.0,39614,3.0952188620184784,429024,3,2,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_023_3core.json,
case_023,4,ok,0.3656895160675049,122614.0,30712,3.9923808283407136,429024,4,2,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_023_4core.json,
case_023,5,ok,0.25974535942077637,122614.0,25191,4.867373268230717,280992,5,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_023_5core.json,
case_024,2,ok,5.5298075675964355,2555343.0,1719530,1.4860706123184824,39332288,2,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_024_2core.json,
case_024,3,ok,5.935600996017456,2555343.0,1337495,1.910543964650335,39332688,3,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_024_3core.json,
case_024,4,ok,5.338238954544067,2555343.0,1239238,2.062027633110024,39332288,4,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_024_4core.json,
case_024,5,ok,5.225989103317261,2555343.0,1091250,2.3416659793814434,39332288,5,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_024_5core.json,
case_025,2,ok,57.30534243583679,4863026.0,2431840,1.9997310678334101,27648,2,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_025_2core.json,
case_025,3,ok,34.907288551330566,4863026.0,1622164,2.9978633479722148,55296,3,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_025_3core.json,
case_025,4,ok,24.40965437889099,4863026.0,1217444,3.9944555971362954,82944,4,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_025_4core.json,
case_025,5,ok,18.748916149139404,4863026.0,975282,4.986276789687495,110592,5,1,seed_plan,/mnt/165d5ea0-c4bf-423a-a83b-e5fb727cf65f/lw/A/V14_cluster_all/V14_cluster_allcase_plans/case_025_5core.json,
