case,cores,status,seconds,selected,single,makespan,speedup,added_copy,subgraphs,error
case_071,5,ok,7.594357874999901,aggr_dense6k,18919,10911,1.7339382274768582,357192,51,
case_074,2,ok,167.03856587500002,wcc_pack3,1682239,821906,2.0467535216922617,6832128,2,
case_074,3,ok,92.915714208,wcc_pack3,1682239,547475,3.072722955386091,7655424,3,
case_074,4,ok,75.031401458,aggr_ultrafine20,1682239,418701,4.017757301749936,12722224,22,
case_074,5,ok,91.69482837499993,wcc_pack3,1682239,343682,4.894754453244569,8499200,5,
case_078,2,ok,10.822041209000005,aggr_mixed4k,2296143,1080972,2.1241466013920807,15039360,8,
case_078,3,ok,12.676272999999998,"aggr_mid12+merge(7,15)+merge(7,22)",2296143,792615,2.896920951533847,15388800,22,
case_078,4,ok,7.010179084000015,aggr_mixed4k,2296143,619540,3.706206217516222,15039360,8,
case_078,5,ok,6.960244333999981,aggr_mid12,2296143,579524,3.962118911382445,15438720,24,
case_080,2,ok,19.189191124999994,wcc_pack3,292138,145926,2.0019598974822856,2191360,2,
case_080,3,ok,11.315681583,wcc_pack3,292138,100325,2.9119162721156244,3047424,3,
case_080,4,ok,10.285809833999963,wcc_active3,292138,100325,2.9119162721156244,3047424,3,
case_080,5,ok,10.128890750000096,wcc_active3,292138,100325,2.9119162721156244,3047424,3,
case_081,2,ok,96.593958,wcc_pack3,151795,76860,1.9749544626593807,0,2,
case_081,3,ok,45.172161042,wcc_pack3,151795,51943,2.9223379473653814,0,3,
case_081,4,ok,38.70191712500002,wcc_pack3,151795,39588,3.834369000707285,0,4,
case_081,5,ok,36.19352208299995,wcc_pack3,151795,30943,4.905632937982743,0,5,
case_082,2,ok,103.119796833,aggr_mixed4k+reassign2,721041,410929,1.7546607808161507,3207626,191,
case_082,3,ok,64.01756275,aggr_mixed4k+reassign1+reassign2,721041,293406,2.457485531993211,3213042,245,
case_082,4,ok,74.372249167,aggr_mixed4k,721041,230548,3.1275092388569843,3238730,271,
case_082,5,ok,63.896803999999975,aggr_mixed4k+reassign0.1+reassign1,721041,218999,3.292439691505441,3236710,287,
case_083,2,ok,96.46741995900001,"aggr_b15+merge(24,30)+merge(46,52)",1057993,487930,2.16832947349005,6073824,52,
case_083,3,ok,42.42583354199999,strong_b10+reassign2+reassign3,1057993,352774,2.999067391587815,6969312,126,
case_083,4,ok,35.84456749999998,strong_b10+reassign0.1,1057993,309519,3.418184344095193,8830112,168,
case_083,5,ok,35.72026816599998,strong_long8,1057993,279691,3.7827209313134853,8830112,168,
case_088,2,ok,77.82266174999998,aggr_mixed4k+reassign2,243623,149006,1.6349878528381407,2138590,195,
case_088,3,ok,45.10133075,aggr_mixed4k+reassign0.1+reassign3,243623,114166,2.13393654853459,2138878,234,
case_088,4,ok,53.36289399999998,aggr_mixed4k,243623,90118,2.703377793559555,2138686,238,
case_088,5,ok,50.456488165999986,aggr_mixed4k+reassign0.1,243623,77110,3.1594216054986384,2139262,242,
case_090,2,ok,30.147596333999957,strong_b10+reassign0.1,1178363,528461,2.2298012530726012,7608576,144,
case_090,3,ok,17.386887083000005,strong_b10+reassign0.1+reassign1+reassign3,1178363,433583,2.717733398219026,11905536,216,
case_090,4,ok,20.837081375000025,strong_b10+reassign0.1,1178363,429097,2.746145976317709,16202496,288,
case_090,5,ok,19.047889375000068,strong_long8+reassign0.1+reassign1,1178363,402971,2.9241880929396906,16202496,288,
case_093,2,ok,6.73495324999999,wcc_pack3,74205,37827,1.9616940280751844,8192,2,
case_093,3,ok,3.475176625000003,wcc_pack3,74205,25103,2.956021192686133,16384,3,
case_093,4,ok,3.689571416999968,wcc_pack3,74205,19779,3.751706355225239,24576,4,
case_093,5,ok,3.679508917000021,wcc_pack3,74205,15876,4.674036281179139,32768,5,
case_094,2,ok,7.027853458999999,aggr_fine15,94892,45446,2.0880165471108567,382768,8,
case_094,3,ok,4.748388583999997,strong_long8,94892,31982,2.967043962228754,863152,34,
case_094,4,ok,4.126747916999989,aggr_fine15,94892,25762,3.6834096731620214,466000,14,
case_094,5,ok,4.290998875000014,strong_b10,94892,23721,4.000337253910038,781616,42,
case_096,2,ok,13.64290837499999,aggr_mixed4k+reassign0.1,84194,43203,1.9487998518621392,504972,11,
case_096,3,ok,7.625230834000007,aggr_mixed4k,84194,30832,2.7307343020238712,756684,15,
case_096,4,ok,8.665620208000007,wcc_pack3,84194,26984,3.120145271271865,78336,4,
case_096,5,ok,8.54627645800008,wcc_active4,84194,26984,3.120145271271865,78336,4,
case_098,2,ok,18.274612958000006,wcc_pack3,177430,89756,1.9768037791345425,0,2,
case_098,3,ok,10.013515332999987,slack_safe12+reassign0.1,177430,76622,2.3156534676724703,827800,56,
case_098,4,ok,11.258983,slack_safe12+reassign0.1,177430,62796,2.825498439391044,827800,56,
case_098,5,ok,12.534580000000005,strong_b10,177430,58915,3.0116269201391836,1066460,197,
case_100,2,ok,18.517518499999994,aggr_b15+reassign0.1,151223,78184,1.934193696920086,478212,7,
case_100,3,ok,10.347261292000013,aggr_mid12,151223,56905,2.6574641947104825,948752,14,
case_100,4,ok,13.560627458999988,slack_safe12+reassign0.1,151223,55703,2.7148088971868662,1400272,85,
case_100,5,ok,10.826505999999995,slack_safe12+reassign0.1,151223,50978,2.9664365020204793,1400272,85,
